district,vote_share,mshare,eshare,rep_inc,mccain,median_age,pct_white,pct_college,med_hhinc,pct_female,cshare_nm,aug_mshare,sep_mshare,oct_mshare,aug_cnnshare,sep_cnnshare,oct_cnnshare,vote_share_12,mshare_12
111,55.04459657,50.68493151,50.40650407,0,50,36.6,83.6,24.7,50.221,50.8,0,54.16666667,27.02702703,60.97560976,0,0,0,59.66494635,33.33333333
112,71.62882744,69.41176471,66.66666667,1,63,35.6,68.2,19.4,40.566,49.9,100,100,56.25,72.72727273,1,0,0,NA,NA
113,48.5590958,18.75,22.22222222,0,46,35.5,46.4,13.2,31.239,50.5,0,0,12.5,29.62962963,0,0,0,44.50460914,78.32817337
114,69.47935072,78.57142857,83.33333333,1,64,37.9,69.7,26.1,52.832,51.6,0,0,100,50,0,0,0,61.96109312,46.20253165
115,25.3344818,42.64705882,38.59649123,0,21,32.9,28.7,30.2,44.534,51.3,0,30.76923077,40,46.875,0,0,0,62.97820338,36.52173913
116,26.28012897,4.268502582,1.970865467,0,20,33.5,41.9,46.4,45.495,51,0,0,0.19379845,8.274894811,0,0,0,36.21634968,79.14691943
117,NA,NA,NA,1,62,37.4,77.1,52.6,73.602,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,67.07045612,60.71428571,75,0,60,35.5,59.2,33.5,59.144,51,0,87.5,0,50,0,0,0,26.43200823,58.2010582
119,52.69715927,28.82882883,31.63265306,0,56,36.5,59.8,18,39.107,51.7,30.76923077,0,38.46153846,28.94736842,0,0,0.4,15.60693642,0.051238258
120,NA,NA,NA,1,75,37.7,90.1,20.8,45.548,50,NA,NA,NA,NA,NA,NA,NA,64.50580545,98.24561404
121,67.35816009,71.73913043,78.04878049,1,61,36.1,74.2,25.3,41.809,51.1,0,84.61538462,100,58.33333333,0,0,0,62.16189411,80
122,NA,NA,NA,1,66,36.3,77.1,24.9,50.229,50.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,43.41450577,0,0,0,45,33.4,51.8,18,36.34,51.4,0,0,0,0,0,0,0,76.1843008,99.82373678
124,30.56986613,2.339181287,2.597402597,0,28,33.2,34,26.3,43.537,52.6,0,13.79310345,0,0,0,0,0,NA,NA
125,46.77236053,59.64912281,63.75,1,28,39.1,17.4,32.2,64.87,50.4,0,100,69.56521739,54.65116279,0,0,0,68.55329057,52.38095238
126,25.96841528,47.36842105,44.44444444,0,25,37.8,32.1,26,58.844,49.5,0,50,50,45.45454545,0,0,0,46.29999112,76.35359116
127,55.27574157,44.24778761,42.39130435,0,62,36.7,93.4,24.5,45.02,49.9,0,22.22222222,33.33333333,56.4516129,0,0,0,28.2555108,4.672897196
128,73.82140191,70,70,1,61,32.7,91.4,26.2,42.027,49.8,0,0,100,62.5,0,0,0,72.97118508,53.06122449
129,16.4877158,0,0,0,13,35.9,30.8,22.4,39.384,53.9,0,0,0,0,0,0,0,45.38717193,50
130,14.66051918,18.2230869,18.74549387,0,10,37.2,22.9,21.1,44.141,53.4,0,31.6872428,10.66997519,23.85892116,0,0,0,19.45748291,6.666666667
131,25.84882407,0,0,0,35,36.3,72.4,23.9,52.73,50.9,0,0,0,0,0,0,0,67.17219355,81.48148148
132,15.61799851,100,100,0,13,30.2,59.5,22.8,40.28,49.3,0,0,0,0,0,0,0,73.82140191,85.18518519
133,26.43334804,66.66666667,66.66666667,0,26,34.3,74.1,40.9,53.847,49.7,0,0,0,100,0,0,0,26.17760088,1.731601732
