"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
296,"Yellow Handkerchief, The","2/26/2010","Samuel Goldwyn Films","Drama","PG-13",318623,40383,318622
297,"Today's Special","11/19/2010","Reliance Big","Comedy","R",317831,40283,317833
298,"The Boondock Saints 2: All Saints Day","10/30/2009","Apparition","Action","R",315233,39953,315229
299,"Holy Rollers","5/21/2010","First Independent Pictures","Drama","R",303064,38411,303063
300,"Once Upon a Time in Mumbai","7/30/2010","Viva Entertainment","Action","?",302862,38386,302866
301,"Aisha","8/6/2010","Viva Entertainment","Romantic Comedy","?",298431,37824,298431
302,"The Little Traitor","10/16/2009","Westchester Films","Drama","?",297351,37687,297350
303,"Blue Valentine","12/29/2010","Weinstein Co.","Drama","NC-17",291607,36959,291607
304,"Last Train Home","9/3/2010","Zeitgeist","Documentary","?",288328,36543,288324
305,"Tiny Furniture","11/12/2010","IFC Films","Comedy","?",286707,36338,286707
306,"Karthik Calling Karthik","2/26/2010","Eros Entertainment","?","?",286409,36300,286407
307,"No Problem","12/10/2010","Eros Entertainment","Comedy","?",285468,36181,285468
308,"Life During Wartime","7/23/2010","IFC Films","Black Comedy","R",281447,35671,281444
309,"Soul Kitchen","8/20/2010","IFC Films","?","?",276901,35095,276900
310,"Countdown to Zero","7/23/2010","Magnolia Pictures","Documentary","PG",272040,34479,272039
311,"Bad Lieutenant: Port of Call New Orleans","11/20/2009","First Look","Drama","R",269021,34096,269017
312,"Breath Made Visible","4/2/2010","Argot Pictures","Documentary","?",267281,33876,267282
313,"Kings of Pastry","9/15/2010","First Run Features","Documentary","?",264482,33521,264481
314,"L'ennemi public n°1","9/3/2010","Music Box Films","Drama","R",262253,33239,262256
315,"Jean-Michel Basquiat: The Radiant Child","7/21/2010","Arthouse Films","Documentary","?",256242,32477,256244
316,"Le baiser du barbu","6/18/2010","Alliance","Comedy","?",249519,31625,249521
317,"Me and Orson Welles","11/25/2009","Freestyle Releasing","Drama","PG-13",247727,31398,247730
318,"White Material","11/19/2010","IFC Films","Drama","?",246328,31220,246326
319,"Frozen","2/5/2010","Anchor Bay Entertainment","?","R",246177,31201,246176
320,"When You're Strange: A Film About The Doors","4/9/2010","Abramorama Films","Documentary","R",246078,31189,246081
321,"Four Lions","11/5/2010","Drafthouse Films","Black Comedy","R",242136,30689,242136
322,"Monsters","10/29/2010","Magnet Pictures","Drama","R",237301,30076,237300
323,"Atithi Tum Kab Jaoge?","3/5/2010","Viva Entertainment","Comedy","?",235847,29892,235848
324,"Casino Jack","12/17/2010","Samuel Goldwyn Films","Thriller/Suspense","R",234094,29670,234096
325,"That Evening Sun","11/6/2009","Freestyle Releasing","?","PG-13",233240,29561,233236
326,"The Tempest","12/10/2010","Miramax","Drama","PG-13",231633,29358,231635
327,"Formosa Betrayed","2/26/2010","Screen Media Films","?","R",225341,28560,225338
328,"The Killer Inside Me","6/18/2010","IFC Films","Drama","R",217277,27538,217275
329,"Rare Exports: A Christmas Tale","12/3/2010","Oscilloscope Pictures","Comedy","R",215430,27304,215429
330,"Winston Churchill: Walking with Destiny","10/29/2010","Moriah Films","Documentary","?",212601,26946,212604
331,"La Soga","8/13/2010","7-57 Releasing","Thriller/Suspense","R",210625,26695,210624
332,"The Girl on the Train","1/22/2010","Strand","?","?",208163,26383,208162
333,"Sweetgrass","1/6/2010","Cinema Guild","Documentary","?",207473,26296,207475
334,"Chain Letter","10/1/2010","New Films Cinema","Horror","R",205842,26089,205842
335,"Le Petit Nicolas","2/19/2010","?","Comedy","?",201857,25584,201858
336,"Women Without Men","4/9/2010","?","?","?",200899,25462,200895
337,"Legendary","9/10/2010","Samuel Goldwyn Films","Drama","PG-13",200393,25398,200390
338,"The Nutcracker in 3D","11/24/2010","Freestyle Releasing","Musical","PG",195459,24773,195459
339,"Iron Man","5/2/2008","Paramount Pictures","Action","PG-13",192025,24338,192027
340,"A Woman, a Gun and a Noodle Shop","9/3/2010","Sony Pictures Classics","Drama","R",190946,24201,190946
341,"The Secrets of Jonathan Sperry","9/18/2009","Five & Two Pictures","Drama","PG",187456,23759,187459
342,"Twelve","8/6/2010","Hannover House","Thriller/Suspense","R",183920,23311,183924
343,"Fei Cheng Wu Rao 2","12/24/2010","China Lion Film Distribution","Romantic Comedy","?",182517,23133,182519
344,"The Human Centipede","4/30/2010","IFC Films","Horror","R",181467,23000,181470
345,"Winnebago Man","7/9/2010","Kino International","Documentary","?",181039,22945,181036
346,"Casino Jack and the United States of Money","5/7/2010","Magnolia Pictures","Documentary","R",176865,22416,176862
347,"Partir","10/1/2010","IFC Films","Drama","?",176113,22321,176113
348,"South of the Border","6/25/2010","Cinema Libre","Documentary","?",174203,22079,174203
349,"Armored","12/4/2009","Sony Pictures","Thriller/Suspense","PG-13",173574,21999,173572
350,"Terribly Happy","2/5/2010","Oscilloscope Pictures","?","?",170943,21666,170945
351,"Client 9: The Rise and Fall of Eliot Spitzer","11/5/2010","Magnolia Pictures","Documentary","R",170829,21651,170826
352,"Chance Pe Dance","1/15/2010","UTV Communications","?","?",168643,21374,168641
353,"The Disappearance of Alice Creed","8/6/2010","Anchor Bay Entertainment","Thriller/Suspense","R",166980,21163,166976
354,"De Mai Tinh","9/10/2010","Variance Films","Romantic Comedy","?",165987,21038,165990
355,"Rann","1/29/2010","Studio 18","Drama","?",165873,21023,165871
356,"Another Year","12/29/2010","Sony Pictures Classics","Drama","PG-13",164654,20869,164656
357,"Genius Within: The Inner Life of Glenn Gould","9/10/2010","Lorber Films","Documentary","?",162122,20548,162124
358,"71: Into the Fire","7/30/2010","?","Drama","?",159335,20195,159339
359,"Welcome to the Rileys","10/29/2010","Samuel Goldwyn Films","Drama","R",152857,19374,152861
360,"The Red Riding Trilogy: 1983","2/5/2010","IFC Films","Drama","?",151644,19220,151646
361,"My Dog Tulip","9/1/2010","New Yorker","Drama","?",151258,19171,151259
362,"La Danse","11/4/2009","Zipporah","?","?",149561,18956,149563
363,"The Red Riding Trilogy","2/5/2010","IFC Films","Drama","?",148826,18863,148829
364,"A Town Called Panic","12/16/2009","Zeitgeist","Comedy","?",147967,18754,147969
365,"Prince","3/26/2010","Viva Entertainment","?","?",144826,18356,144829
366,"The Father of My Children","5/21/2010","IFC Films","Drama","?",144022,18254,144024
367,"House","1/15/2010","Janus Films","?","?",140750,17839,140750
368,"The Cremaster Cycle","4/9/2010","International Film Circuit","Drama","?",140666,17828,140663
369,"The Weathered Underground","1/26/2010","Indican Pictures","Multiple Genres","?",140091,17756,140095
370,"Love Ranch","6/30/2010","?","Drama","R",137885,17476,137886
371,"Carlos","10/15/2010","IFC Films","Drama","?",135526,17177,135527
372,"Pure Country 2: The Gift","1/2/2011","Warner Bros.","Drama","PG",133771,16954,133767
373,"The Eclipse","3/26/2010","Magnolia Pictures","?","R",133411,16909,133412
374,"The Warlords","4/2/2010","?","?","R",129078,16360,129080
375,"The Good, the Bad, the Weird","4/23/2010","?","Action","R",128486,16285,128489
376,"Stonewall Uprising","6/16/2010","First Run Features","Documentary","?",128203,16249,128205
377,"Lovely, Still","9/10/2010","Monterey Media","Drama","PG",127564,16168,127566
378,"Centurion","8/27/2010","Magnolia Pictures","Action","R",123570,15662,123573
379,"The Illusionist","12/25/2010","Sony Pictures Classics","Adventure","?",123476,15650,123479
380,"Country Strong","12/22/2010","Sony Pictures","Drama","PG-13",119742,15176,119739
381,"Valley of the Hearts Delight","4/9/2010","Indican Pictures","Drama","?",118666,15040,118666
382,"The Big Uneasy","8/30/2010","Self Distributed","Documentary","?",116698,14791,116701
383,"Queen of the Lot","11/19/2010","Rainbow Releasing","Drama","R",116400,14753,116401
384,"Coco Before Chanel","9/25/2009","Sony Pictures Classics","Drama","PG-13",116152,14721,116149
385,"The Greatest","4/2/2010","Paladin","Drama","R",115862,14685,115865
386,"Breaking Upwards","4/2/2010","IFC Films","?","?",115592,14650,115589
387,"Bran Nue Dae","9/10/2010","Freestyle Releasing","Musical","PG-13",113568,14394,113569
388,"Touching Home","4/30/2010","CFI","Drama","?",110594,14017,110594
389,"Best Worst Movie","4/23/2010","Area23a","?","?",109895,13928,109892
390,"Blood Done Sign My Name","2/19/2010","Paladin","Drama","PG-13",109383,13863,109379
391,"Wild Target","10/29/2010","Freestyle Releasing","Comedy","PG-13",109338,13858,109340
392,"After.Life","4/9/2010","?","?","R",108596,13764,108598
393,"Bellamy","10/29/2010","IFC Films","Thriller/Suspense","?",107612,13639,107612
394,"The Romantics","9/10/2010","Four of a Kind Productions","Comedy","PG-13",106524,13501,106523
395,"Saint John of Las Vegas","1/29/2010","IndieVest Pictures","?","R",102645,13010,102649
396,"Waste Land","10/29/2010","Arthouse Films","Documentary","?",102454,12985,102452
397,"Everyone Else","4/9/2010","Cinema Guild","Drama","?",102042,12933,102041
398,"George A. Romero's Survival of the Dead","5/28/2010","Magnolia Pictures","Horror","R",101740,12895,101742
399,"Freakonomics","10/1/2010","Magnolia Pictures","Documentary","PG-13",101270,12835,101268
400,"The Good Guy","2/19/2010","Roadside Attractions","Romantic Comedy","R",100688,12761,100684
401,"8: The Mormon Proposition","6/18/2010","?","Documentary","R",100280,12710,100282
402,"Red Cliff","11/20/2009","Magnolia Pictures","Action","R",100206,12700,100203
403,"Astro Boy","10/23/2009","Summit Entertainment","Adventure","PG",98708,12511,98712
404,"Kings of the Evening","1/1/2010","Indican Pictures","Drama","PG",98124,12437,98128
405,"I Spit on Your Grave","10/8/2010","Anchor Bay Entertainment","Horror","R",93051,11794,93055
406,"Ishqiya","1/29/2010","Viva Entertainment","Thriller/Suspense","?",91468,11593,91469
407,"The Loss of a Teardrop Diamond","12/30/2009","Paladin","Drama","?",90040,11412,90041
408,"Crazy on the Outside","1/8/2010","Freestyle Releasing","Comedy","PG-13",88335,11196,88336
409,"Khelein Hum Jee Jaan Sey","12/3/2010","Viva Entertainment","?","?",87846,11134,87847
410,"Until the Light Takes Us","11/20/2009","Variance Films","?","?",84156,10666,84155
411,"Feed the Fish","4/23/2010","Strand","Romantic Comedy","?",84085,10657,84084
412,"The Maid","10/16/2009","Elephant Eye Films","Drama","?",83834,10625,83831
413,"No One Knows About Persian Cats","4/16/2010","?","Drama","?",81768,10363,81764
414,"Kisses","7/16/2010","Oscilloscope Pictures","?","?",81680,10352,81677
415,"Waking Sleeping Beauty","3/26/2010","Walt Disney Pictures","Documentary","PG",80741,10233,80738
416,"The Private Lives of Pippa Lee","11/27/2009","Screen Media Films","Drama","R",76158,9652,76154
417,"Dogtooth","6/25/2010","Kino International","Drama","?",73849,9360,73850
418,"Prodigal Sons","2/26/2010","First Run Features","?","?",73544,9321,73543
419,"Le hérisson","3/12/2010","NeoClassics Films","Drama","?",73133,9269,73132
420,"La siciliana ribelle","8/5/2010","Music Box Films","Drama","?",71239,9029,71239
421,"Rosencrantz and Guildenstein are Undead","6/4/2010","Indican Pictures","Comedy","?",70563,8943,70560
422,"Leaves of Grass","4/2/2010","?","Black Comedy","R",70066,8880,70063
423,"Living in Emergency","6/4/2010","Bev Pictures","Documentary","?",69047,8751,69045
424,"Budrus","10/8/2010","Balcony Releasing","Documentary","?",68353,8663,68351
425,"2012: Time for Change","4/9/2010","Mangusta Productions","Drama","?",68339,8661,68335
426,"John Rabe","5/21/2010","Strand","?","?",67519,8558,67523
427,"Dulha Mil Gaya","1/8/2010","Viva Entertainment","Comedy","?",67511,8557,67515
428,"Dancing Across Borders","3/26/2010","First Run Features","Documentary","?",66166,8386,66166
429,"Racing Dreams","5/21/2010","Hannover House","Documentary","PG",65082,8249,65085
430,"Killing Kasztner","10/23/2009","GR Films","?","?",64761,8208,64761
431,"Biutiful","12/29/2010","Roadside Attractions","Drama","R",64672,8197,64674
432,"Paranormal Activity","9/25/2009","Paramount Pictures","Horror","R",64214,8139,64217
433,"Contracorriente","9/17/2010","The Film Collaborative","Drama","?",64159,8132,64161
434,"Rush: Beyond the Lighted Stage","6/11/2010","?","Documentary","?",63696,8073,63696
435,"Marwencol","10/8/2010","?","Documentary","?",63292,8022,63294
436,"Teen Patti","2/26/2010","?","?","?",63151,8004,63152
437,"Cool It","11/12/2010","Roadside Attractions","Documentary","PG",62713,7948,62710
438,"Patrik, Age 1.5","8/14/2009","Here Films","Comedy","Not Rated",57060,7232,57060
439,"God of Vampires","7/2/2010","Nocturnal Features","Action","?",56705,7187,56705
440,"Looking for Eric","5/14/2010","IFC Films","?","?",55804,7073,55806
441,"To the Sea","7/14/2010","Film Movement","Drama","?",55709,7061,55711
442,"Amelia","10/23/2009","Fox Searchlight","Drama","PG",55434,7026,55435
443,"Night Catches Us","12/3/2010","Magnolia Pictures","Drama","R",54914,6960,54914
444,"The Nature of Existence","6/18/2010","Walking Shadows","Documentary","?",54645,6926,54646
445,"The Lottery","6/11/2010","Variance Films","?","?",54543,6913,54544
446,"Harlan: In the Shadow of Jew Suss","3/3/2010","Zeitgeist","?","?",54305,6883,54307
447,"Strange Powers: Stephin Merritt and the Magnetic Fields","10/29/2010","Variance Films","Documentary","?",54152,6863,54149
448,"Hatchet II","10/1/2010","Vitagraph Films","Horror","R",52604,6667,52603
449,"Ca$h","3/26/2010","Roadside Attractions","Thriller/Suspense","?",46488,5892,46488
450,"Enemies of the People","7/30/2010","International Film Circuit","Documentary","?",46463,5889,46464
451,"35 Shots of Rum","9/18/2009","Cinema Guild","Drama","?",44756,5672,44752
452,"Defendor","2/19/2010","?","Drama","R",44462,5635,44460
453,"Cropsey","6/4/2010","?","Documentary","?",42392,5373,42393
454,"The Oath","5/7/2010","Zeitgeist","?","?",42273,5358,42275
455,"Queen of the Sun","9/17/2010","Collective Eye","Documentary","?",41895,5310,41896
456,"Oscar et la dame Rose","2/26/2010","Alliance","?","?",41803,5298,41801
457,"The Red Baron","3/19/2010","Monterey Media","Drama","PG-13",40789,5170,40791
458,"Le dernier fugue","2/26/2010","United Artists","?","?",40249,5101,40247
459,"44 Inch Chest","1/15/2010","Image Entertainment","?","?",39033,4947,39032
460,"A Serious Man","10/2/2009","Focus Features","Comedy","R",38263,4850,38267
461,"The Legend of Pale Male","11/26/2010","Balcony Releasing","Documentary","?",38083,4827,38085
462,"L'armée du crime","8/20/2010","Lorber Films","Thriller/Suspense","?",37031,4693,37028
463,"Boxing Gym","10/22/2010","Zipporah","Documentary","?",36812,4666,36815
464,"District B13 - Ultimatum","2/5/2010","Magnolia Pictures","?","R",36136,4580,36136
465,"Deadfall Trail","5/14/2010","Nocturnal Features","Horror","?",35855,4544,35852
466,"Mystery Team","8/28/2009","Roadside Attractions","Comedy","R",35701,4525,35702
467,"Bhutto","12/3/2010","First Run Features","Documentary","?",34963,4431,34961
468,"Le Refuge","9/10/2010","Strand","Drama","?",34525,4376,34527
469,"The Yes Men Fix the World","10/7/2009","Shadow","Documentary","?",34136,4326,34132
470,"Bluebeard","3/26/2010","Strand","?","?",33490,4245,33493
471,"Ahead of Time","9/10/2010","Vitagraph Films","Documentary","?",33024,4186,33028
472,"Spoken Word","7/23/2010","Variance Films","Drama","?",32961,4178,32964
473,"Videocracy","2/12/2010","Kino International","?","?",32790,4156,32791
474,"William S. Burroughs: A Man Within","11/19/2010","Oscilloscope Pictures","Documentary","?",32608,4133,32609
475,"In My Sleep","4/23/2010","Morning Star Pictures","Thriller/Suspense","PG-13",31858,4038,31860
476,"180 South","5/21/2010","Magnolia Pictures","?","?",31745,4023,31741
477,"The Sun","11/18/2009","Lorber Films","Drama","?",31738,4023,31741
478,"Around a Small Mountain","7/9/2010","Cinema Guild","Comedy","?",31377,3977,31379
479,"In Search of Memory","1/8/2010","Icarus Films","?","?",31052,3936,31055
480,"Who is Harry Nilsson (and Why is Everybody Talkin' About Him)?","9/10/2010","Lorber Films","Documentary","?",30975,3926,30976
481,"GasLand","9/15/2010","GasLand Productions","Documentary","?",30846,3910,30850
482,"Valhalla Rising","7/16/2010","IFC Films","Action","?",30638,3883,30637
483,"Dead Awake","12/3/2010","New Films Cinema","Thriller/Suspense","R",30600,3878,30597
484,"The Trouble with Terkel","10/15/2010","Indican Pictures","Adventure","?",30042,3808,30045
485,"Lbs.","3/26/2010","Truly Indie","Comedy","?",29866,3785,29864
486,"Multiple Sarcasms","5/7/2010","?","?","R",29731,3768,29730
487,"Two in the Wave","5/19/2010","Lorber Films","Documentary","?",28808,3651,28806
488,"Expecting Mary","9/10/2010","Rocky Mountain Pictures","Comedy","PG",28700,3638,28704
489,"[Rec] 2","7/9/2010","Magnolia Pictures","?","R",27766,3519,27765
490,"Visual Acoustics","10/9/2009","Arthouse Films","?","?",27565,3494,27568
491,"The Human Experience","4/9/2010","?","Documentary","PG-13",27170,3444,27173
492,"Seraphine","6/5/2009","Music Box Films","?","?",26616,3373,26613
493,"October Country","2/12/2010","International Film Circuit","Documentary","?",26185,3319,26187
494,"Eyes Wide Open","2/5/2010","New American Vision","?","?",25846,3276,25848
495,"The Exploding Girl","3/12/2010","Oscilloscope Pictures","Drama","?",25572,3241,25571
496,"Here and There","5/14/2010","?","Comedy","?",24460,3100,24459
497,"Henri-Georges Clouzot's Inferno","7/16/2010","?","Documentary","?",24328,3083,24325
498,"Behind the Burly Q","4/23/2010","First Run Features","Documentary","?",23889,3028,23891
499,"Saint Misbehavin': The Wavy Gravy Movie","12/3/2010","Argot Pictures","Documentary","?",23886,3027,23883
500,"Pirate Radio","11/13/2009","Focus Features","Comedy","R",23352,2960,23354
501,"Handsome Harry","4/16/2010","Paladin","Drama","R",22878,2900,22881
502,"The Other City","9/17/2010","Cabin Films","Documentary","?",22539,2857,22542
503,"Happy Tears","2/19/2010","Roadside Attractions","Drama","R",22464,2847,22463
504,"Hemingways Garden of Eden","12/10/2010","Roadside Attractions","Drama","R",22083,2799,22084
505,"And Everything is Going Fine","12/10/2010","IFC Films","Documentary","?",22080,2798,22076
506,"Hugh Hefner: Playboy, Activist and Rebel","7/30/2010","Phase 4 Films","?","R",21878,2773,21879
507,"Trash Humpers","5/7/2010","?","Comedy","?",21826,2766,21824
508,"Daddy Longlegs","5/14/2010","IFC Films","Comedy","?",21766,2759,21769
509,"Toe to Toe","2/26/2010","Strand","?","?",21648,2744,21650
510,"The Good Heart","4/30/2010","Magnolia Pictures","Drama","?",20930,2653,20932
511,"Douchebag","10/1/2010","Paladin","Comedy","?",20615,2613,20617
512,"Prince of Broadway","9/3/2010","Elephant Eye Films","Drama","?",20450,2592,20451
513,"The Korean","2/5/2010","Indican Pictures","Action","?",20279,2570,20277
514,"Double Take","6/4/2010","Kino International","Documentary","?",20218,2562,20214
515,"The Trial","9/10/2010","?","Drama","PG-13",19753,2504,19757
516,"Guy and Madeline on a Park Bench","11/5/2010","Variance Films","Musical","?",19557,2479,19559
517,"Neshoba: The Price of Freedom","8/13/2010","First Run Features","Documentary","?",19245,2439,19244
518,"The People I've Slept With","8/13/2010","People Pictures","Romantic Comedy","?",19137,2425,19133
519,"The Horse Boy","9/11/2009","Zeitgeist","Documentary","?",19117,2423,19117
520,"Off and Running","1/29/2010","First Run Features","?","?",18262,2315,18265
521,"Red Hill","11/5/2010","Sony Pictures","Thriller/Suspense","R",18224,2310,18226
522,"Great Directors","7/2/2010","Paladin","?","?",17921,2271,17918
523,"Bitch Slap","1/8/2010","Freestyle Releasing","Action","R",17365,2201,17366
524,"Beetle Queen Conquers Tokyo","5/12/2010","Argot Pictures","Documentary","?",15930,2019,15930
525,"Nine Nation Animation","9/29/2010","The World According to Shorts","Multiple Genres","?",15651,1984,15654
526,"Shoah","12/10/2010","IFC Films","Documentary","?",15642,1983,15646
527,"BoyBand","6/4/2010","Artigo Ajemian Films","Comedy","?",15628,1981,15630
528,"Sama Wozu","12/24/2010","GKIDS","Adventure","PG-13",15623,1980,15622
529,"American Radical: The Trials of Norman Finkelstein","2/12/2010","Typecast Releasing","?","?",15451,1958,15449
530,"The End of Poverty?","11/13/2009","Cinema Libre","Documentary","?",15444,1957,15441
531,"Paper Man","4/23/2010","MPI Media Group","Comedy","R",15389,1950,15386
532,"Dreamkiller","2/19/2010","?","?","R",15318,1941,15314
533,"Hey, Hey, It's Esther Blueburger","4/20/2010","Monterey Media","Comedy","PG-13",15222,1929,15220
534,"Four Seasons Lodge","11/11/2009","?","?","?",15055,1908,15054
535,"The Wedding Song","10/9/2009","Strand","?","?",14542,1843,14541
536,"The Beaches of Agnes","7/1/2009","Cinema Guild","Documentary","?",14523,1841,14525
537,"Revanche","5/1/2009","Janus Films","Drama","?",13918,1764,13918
538,"Don McKay","4/2/2010","?","?","R",13722,1739,13721
539,"Le combat dans l'île","6/12/2009","The Film Desk","Thriller/Suspense","?",13632,1728,13634
540,"Jim","10/8/2010","Area23a","Drama","?",13015,1650,13019
541,"The Living Wake","5/14/2010","Mangusta Productions","?","PG-13",12232,1550,12230
542,"The Kids Grow Up","10/29/2010","?","Documentary","?",12095,1533,12095
543,"After the Cup: Sons of Sakhnin United","5/21/2010","Variance Films","Documentary","?",12085,1532,12087
544,"Violet Tendencies","11/5/2010","Embrem Entertainment","Comedy","?",11863,1503,11859
545,"Picture Me: A Model's Diary","9/17/2010","?","Documentary","?",11848,1502,11851
546,"The Dry Land","7/30/2010","Freestyle Releasing","Drama","R",11777,1493,11780
547,"White Wedding","9/3/2010","The Little Film Company/Dada Films","Comedy","PG-13",11711,1484,11709
548,"Salt of This Sea","8/13/2010","Lorber Films","Drama","?",11662,1478,11661
549,"16 to Life","9/3/2010","Waterdog Films","Romantic Comedy","?",11574,1467,11575
550,"Cherry","10/8/2010","?","Drama","R",11362,1440,11362
551,"Children of Invention","3/12/2010","The Kids Are Alright Productions/Variance Films","?","?",11183,1417,11180
552,"Good Hair","10/9/2009","Roadside Attractions","Documentary","PG-13",11053,1401,11054
553,"The Damned United","10/9/2009","Sony Pictures Classics","Drama","R",11029,1398,11030
554,"The Two Escobars","8/27/2010","All Rise Films","Documentary","?",10942,1387,10943
555,"Frankie and Alice","12/10/2010","Freestyle Releasing","Drama","R",10671,1352,10667
556,"Terkel in Trouble","3/26/2010","Indican Pictures","?","?",10579,1341,10580
557,"Waiting for Armageddon","1/8/2010","First Run Features","?","?",10501,1331,10502
558,"Spring Fever","6/4/2010","Strand","Drama","?",10478,1328,10478
559,"The Milk of Sorrow","8/27/2010","Olive Films","Drama","?",10462,1326,10462
560,"O Estranho Caso de Angélica","12/31/2010","Cinema Guild","Drama","?",10433,1322,10431
561,"GhettoPhysics: Will the Real Pimps and Ho's Please Stand Up?","10/8/2010","Samuel Goldwyn Films","Documentary","R",10087,1278,10083
562,"Circle","8/27/2010","Indican Pictures","?","?",10024,1270,10020
563,"Down Terrace","10/15/2010","Magnolia Pictures","Black Comedy","R",9812,1244,9815
564,"Lourdes","2/17/2010","Pallisades Tartan","Drama","?",9408,1192,9405
565,"The Taqwacores","10/22/2010","Strand","Drama","?",9347,1185,9350
566,"Wonderful World","1/8/2010","Magnolia Pictures","Drama","R",9309,1180,9310
567,"Broderskab","8/6/2010","Olive Films","Drama","?",8979,1138,8979
568,"Shanghai Red","1/1/2010","Indican Pictures","Thriller/Suspense","?",8734,1107,8734
569,"The Freebie","9/17/2010","Phase 4 Films","Romantic Comedy","R",8300,1052,8300
570,"Youssou N'Dour: I Bring What I Love","6/12/2009","Shadow","Documentary","Not Rated",7991,1013,7993
571,"Stolen","3/12/2010","IFC Films","?","R",7943,1007,7945
572,"The Cove","7/31/2009","Roadside Attractions","Documentary","PG-13",7934,1006,7937
573,"Mugabe and the White African","7/23/2010","First Run Features","Documentary","?",7924,1004,7922
574,"The Missing Person","11/20/2009","Strand","?","?",7874,998,7874
575,"It's a Bash!","4/30/2010","?","Documentary","?",7839,994,7843
576,"Oy Vey! My Son is Gay!","12/24/2010","?","?","PG-13",7578,960,7574
577,"Tales From the Script","3/12/2010","First Run Features","?","?",7535,955,7535
578,"Udaan","7/16/2010","UTV Communications","?","?",7461,946,7464
579,"The Thorn in the Heart","4/2/2010","Oscilloscope Pictures","Documentary","?",7376,935,7377
580,"Happiness Runs","5/7/2010","Strand","Drama","?",7199,912,7196
581,"Only When I Dance","7/2/2010","Film Movement","Documentary","?",7150,906,7148
582,"Logan","9/10/2010","Real Bean Entertainment","Drama","?",7137,905,7140
583,"Misconceptions","1/22/2010","Regent Releasing","Comedy","?",6892,874,6896
584,"Crude","9/11/2009","First Run Features","Documentary","?",6878,872,6880
585,"Amreeka","9/4/2009","National Geographic Entertainment","?","PG-13",6818,864,6817
586,"Finding Bliss","6/4/2010","?","?","R",6783,860,6785
587,"Mercy","4/30/2010","IFC Films","Drama","R",6780,859,6778
588,"The Last New Yorker","2/19/2010","Brink Film","Drama","?",6607,837,6604
589,"The Cartel","4/16/2010","?","Documentary","?",6569,833,6572
590,"Dream Boy","3/26/2010","Regent Releasing","?","?",6534,828,6533
591,"Under Our Skin","6/17/2009","Shadow","?","?",6526,827,6525
592,"Watercolors","1/22/2010","Regent Releasing","Drama","?",6305,799,6304
593,"The Box","11/6/2009","Warner Bros.","Thriller/Suspense","PG-13",6301,799,6304
594,"Brutal Beauty: Tales of the Rose City Rollers","1/8/2010","Cinema Purgatorio","Documentary","?",6280,796,6280
595,"Storm","10/30/2009","Film Movement","Drama","?",6152,780,6154
596,"Phyllis and Harold","2/19/2010","Rainbow Releasing","Documentary","?",5992,759,5989
597,"BearCity","10/22/2010","TLA Releasing","Romantic Comedy","?",5980,758,5981
598,"Departures","5/29/2009","Regent Releasing","Drama","PG-13",5800,735,5799
599,"For My Father","1/29/2010","Film Movement","Drama","?",5729,726,5728
600,"Midnight Reckoning","9/10/2010","Winter Star Entertainment","Thriller/Suspense","?",5673,719,5673
601,"Home","11/27/2009","Lorber Films","Drama","?",5517,699,5515
602,"Nanette","12/22/2010","Kino International","Documentary","?",5450,691,5452
603,"Whiz Kids","6/4/2010","Shadow","Documentary","?",5386,683,5389
604,"Beeswax","8/7/2009","Cinema Guild","Comedy","?",5151,653,5152
605,"The Winning Season","9/3/2010","Roadside Attractions","Comedy","PG-13",5000,634,5002
606,"Cosa Voglio Di Piu","12/3/2010","Film Movement","Drama","?",4998,633,4994
607,"Police, Adjective","12/23/2009","?","?","?",4908,622,4908
608,"Hadewijch","12/24/2010","IFC Films","Drama","?",4603,583,4600
609,"The Headless Woman","8/19/2009","Strand","Drama","?",4502,571,4505
610,"Cloud Nine","8/14/2009","?","?","?",4297,545,4300
611,"Inhale","10/22/2010","IFC Films","Thriller/Suspense","R",4115,522,4119
612,"Zenith","10/1/2010","Cinema Purgatorio","Thriller/Suspense","?",4051,513,4048
613,"Kimjongilia","3/19/2010","Kino International","?","?",3987,505,3984
614,"Just Say Love","3/26/2010","Regent Releasing","?","?",3944,500,3945
615,"Heartless","11/19/2010","IFC Films","Horror","?",3697,469,3700
616,"Big Fan","8/28/2009","First Independent Pictures","Comedy","R",3666,465,3669
617,"Smash His Camera","7/30/2010","Magnolia Pictures","Documentary","PG-13",3644,462,3645
618,"American Grindhouse","6/18/2010","Lorber Films","Documentary","?",3598,456,3598
619,"Det rode kapel","12/29/2010","Lorber Films","Documentary","?",3539,449,3543
620,"The September Issue","8/28/2009","Roadside Attractions","Documentary","PG-13",3517,446,3519
621,"Speed-Dating","6/4/2010","Rockstone Releasing","Romantic Comedy","R",3394,430,3393
622,"Murder in Fashion","1/22/2010","Regent Releasing","Drama","?",3346,424,3345
623,"My Year Without Sex","3/12/2010","Strand","Comedy","?",3119,395,3117
624,"Altiplano","8/20/2010","First Run Features","Drama","?",3063,388,3061
625,"Order of Chaos","2/12/2010","?","?","R",3054,387,3053
626,"Bliss","8/7/2009","First Run Features","Drama","?",2856,362,2856
627,"Eichmann","10/29/2010","Regent Releasing","Drama","?",2706,343,2706
628,"Helena From the Wedding","11/12/2010","Film Movement","Drama","?",2692,341,2690
